,Id Serie,Genero
0,52198.0,Comedy
1,52933.0,Music
2,51336.0,Action
3,51336.0,Anime
4,51336.0,Science-Fiction
5,54033.0,Action
6,54033.0,Adventure
7,54033.0,Anime
8,54033.0,Fantasy
9,61674.0,Romance
10,52038.0,Comedy
12,52373.0,Drama
13,52373.0,Romance
14,52373.0,History
15,55016.0,Anime
16,50752.0,Drama
17,50752.0,Children
18,50752.0,Family
19,51893.0,Adventure
20,51893.0,Nature
25,26268.0,Drama
26,53198.0,Drama
27,53198.0,Crime
28,51111.0,Drama
29,51111.0,Action
30,51111.0,Crime
31,52984.0,Comedy
32,49864.0,Comedy
33,51896.0,Sports
34,13381.0,Comedy
35,13392.0,Comedy
36,32980.0,Adventure
37,40482.0,Medical
38,40482.0,Sports
39,40482.0,Legal
40,45389.0,Drama
41,45389.0,Science-Fiction
52,45400.0,Comedy
53,47267.0,Comedy
54,50741.0,Drama
55,50741.0,Crime
56,51119.0,Drama
57,51119.0,Romance
58,51870.0,Romance
60,52073.0,Drama
61,52073.0,Romance
62,52104.0,Drama
63,52104.0,Romance
64,52104.0,History
68,52106.0,Drama
69,52106.0,Thriller
70,52106.0,Mystery
74,52107.0,Action
75,52107.0,Crime
76,52107.0,Thriller
80,52108.0,Drama
81,52108.0,Thriller
82,52108.0,Mystery
86,52113.0,Food
87,52113.0,Nature
88,52150.0,Drama
89,52150.0,Romance
90,52150.0,Supernatural
91,52159.0,Crime
92,52159.0,Thriller
93,52159.0,Mystery
97,52191.0,Comedy
98,52191.0,Fantasy
99,52191.0,Mystery
100,53338.0,Drama
101,53338.0,Comedy
102,53612.0,Comedy
103,53612.0,Children
104,54112.0,Comedy
105,54112.0,Children
106,54112.0,Music
107,61755.0,Drama
108,61755.0,Romance
109,60785.0,Drama
110,60785.0,Food
111,60785.0,Romance
112,61530.0,Comedy
113,61530.0,Music
114,61530.0,Science-Fiction
115,38339.0,Drama
116,45812.0,Comedy
117,50661.0,Crime
118,2504.0,Drama
119,2504.0,Romance
120,50106.0,Drama
121,50106.0,Comedy
122,50106.0,Crime
126,32087.0,Drama
127,32087.0,Children
128,32087.0,Music
130,47207.0,Drama
131,47207.0,Romance
132,47207.0,Mystery
133,48395.0,Comedy
134,48395.0,Anime
135,48395.0,Supernatural
136,49652.0,Comedy
137,49652.0,Action
138,49652.0,Anime
139,49652.0,Fantasy
140,45713.0,Comedy
141,45713.0,Anime
142,45713.0,Science-Fiction
145,54637.0,Action
146,55919.0,Drama
147,55919.0,Comedy
148,55919.0,Children
149,58689.0,Drama
150,58689.0,Romance
157,33691.0,Music
159,57030.0,Comedy
160,57030.0,Children
163,57953.0,Music
164,28346.0,Comedy
165,33944.0,Music
166,40511.0,Travel
167,46139.0,Comedy
168,46409.0,Drama
169,46409.0,Comedy
170,46409.0,Romance
172,49147.0,War
173,49147.0,History
174,49353.0,War
175,49353.0,History
178,51749.0,Drama
179,51749.0,Anime
180,51749.0,Romance
183,51927.0,Science-Fiction
184,51927.0,Nature
221,52421.0,Drama
222,52421.0,Romance
227,57478.0,Children
230,52780.0,Comedy
231,52780.0,Fantasy
232,52780.0,Romance
236,44660.0,Sports
237,44675.0,Action
238,44675.0,Family
240,56531.0,Comedy
241,56531.0,Adventure
242,56531.0,Fantasy
245,51888.0,Drama
246,51888.0,Comedy
247,51888.0,Romance
248,45434.0,Comedy
249,45434.0,Children
250,45434.0,DIY
251,49732.0,Anime
252,49732.0,Supernatural
253,43722.0,Drama
254,43722.0,Comedy
255,49280.0,Drama
256,49280.0,Thriller
257,49422.0,Crime
258,49422.0,Mystery
259,51908.0,Drama
260,51908.0,Comedy
261,51908.0,Romance
269,38031.0,Comedy
270,38031.0,Action
271,38031.0,Adventure
272,38031.0,Anime
273,24837.0,Comedy
274,24837.0,Action
275,24837.0,Adventure
276,24837.0,Anime
277,47912.0,Drama
278,47912.0,Romance
279,47912.0,History
285,52799.0,Crime
286,52799.0,Science-Fiction
287,52799.0,Mystery
291,54610.0,Anime
292,54610.0,Fantasy
293,54610.0,Romance
294,57556.0,Action
295,57556.0,Anime
296,57556.0,Fantasy
301,44060.0,Drama
302,44060.0,Romance
307,53196.0,Drama
308,53196.0,Comedy
309,49948.0,Drama
310,49948.0,Comedy
311,49948.0,Romance
312,30889.0,Comedy
313,30889.0,Music
315,54658.0,Comedy
316,56605.0,Drama
317,53177.0,Comedy
319,36046.0,Legal
322,52758.0,Drama
323,52758.0,Comedy
324,52758.0,Romance
328,54515.0,Children
329,54515.0,Nature
330,57257.0,Drama
331,57257.0,Comedy
332,6141.0,Comedy
333,7480.0,Drama
334,7480.0,Adventure
335,7480.0,Science-Fiction
336,13215.0,Adventure
337,13215.0,Fantasy
338,28381.0,Comedy
339,36841.0,Food
340,42843.0,Comedy
341,42843.0,Thriller
342,42843.0,Mystery
347,50157.0,Drama
348,50157.0,Comedy
349,51149.0,Comedy
350,51149.0,Food
351,51393.0,Action
352,51393.0,Adventure
353,51393.0,Science-Fiction
354,51560.0,Drama
355,51560.0,Comedy
356,51560.0,Romance
361,51969.0,Drama
362,51969.0,Fantasy
363,51969.0,Romance
364,52105.0,Drama
365,52105.0,Comedy
382,52548.0,Comedy
383,52548.0,Horror
408,52608.0,Drama
409,52608.0,Romance
410,53009.0,Drama
411,53009.0,Romance
414,54744.0,Drama
415,54744.0,Comedy
416,56253.0,Comedy
417,56253.0,Music
418,60809.0,Travel
419,51260.0,Drama
420,51260.0,Romance
427,6544.0,Children
428,51742.0,Drama
429,51742.0,Comedy
430,16753.0,Sports
431,42824.0,Comedy
436,45470.0,Romance
440,46668.0,Drama
441,51316.0,Sports
442,51706.0,Drama
443,51899.0,Drama
444,17046.0,Drama
445,17046.0,Crime
448,48288.0,Comedy
449,48402.0,Comedy
450,52118.0,Comedy
451,52118.0,Action
452,52118.0,Crime
463,49485.0,Comedy
464,49485.0,Anime
465,49485.0,History
466,49485.0,Supernatural
468,55019.0,Anime
469,45466.0,Comedy
470,49907.0,Comedy
474,56433.0,Comedy
476,38171.0,Comedy
478,53759.0,Comedy
479,8035.0,Drama
480,8035.0,Medical
481,11502.0,Music
483,44664.0,Drama
485,46278.0,Drama
486,46278.0,Comedy
487,46278.0,Romance
488,52143.0,Comedy
489,52143.0,Sports
490,52285.0,Drama
491,52285.0,Crime
492,52285.0,Thriller
493,52320.0,Crime
499,52800.0,Crime
500,59495.0,Children
501,59495.0,Family
508,7564.0,Comedy
509,13168.0,Comedy
510,21035.0,Comedy
511,21035.0,Adventure
512,21035.0,Children
513,28757.0,Comedy
514,28757.0,Fantasy
515,28757.0,Romance
543,38963.0,Action
544,38963.0,Adventure
545,38963.0,Science-Fiction
546,40019.0,Drama
547,40019.0,Family
548,40019.0,Music
573,41500.0,Action
574,41500.0,Anime
575,41500.0,Supernatural
578,49738.0,Comedy
586,49940.0,Nature
587,49940.0,History
598,50065.0,Comedy
599,50402.0,Comedy
600,50402.0,Children
603,50463.0,Children
609,50561.0,Drama
610,50561.0,Comedy
611,51337.0,Action
612,51337.0,Adventure
613,51337.0,Anime
614,51337.0,Fantasy
615,51463.0,Horror
616,51463.0,Supernatural
617,51476.0,Comedy
618,51476.0,Romance
625,51849.0,Adventure
626,51849.0,Family
627,51849.0,Fantasy
634,51914.0,Drama
635,51914.0,Crime
636,51914.0,Supernatural
652,51915.0,Comedy
653,51966.0,Drama
654,51966.0,Comedy
655,51966.0,Romance
656,51971.0,Drama
657,51971.0,Music
658,51971.0,Romance
665,52124.0,Comedy
666,52124.0,Romance
677,52165.0,Drama
678,52165.0,Action
679,52165.0,History
680,52196.0,Drama
681,52196.0,Romance
682,52348.0,Drama
683,52348.0,Romance
684,52415.0,Drama
685,52415.0,Crime
686,52415.0,Family
696,52416.0,Drama
697,52416.0,Thriller
698,52416.0,Mystery
706,54218.0,Music
707,54218.0,History
708,61140.0,Sports
709,46591.0,Adventure
710,46591.0,Fantasy
711,46591.0,Mystery
715,26341.0,Comedy
716,26341.0,Children
719,36030.0,Comedy
720,36030.0,Children
723,40862.0,Comedy
724,45235.0,Drama
725,45235.0,Mystery
726,45235.0,Supernatural
764,49903.0,Food
765,50150.0,Comedy
766,57491.0,Mystery
767,57491.0,History
768,62418.0,Comedy
769,44110.0,Comedy
772,42077.0,Family
773,42077.0,Fantasy
774,42077.0,Music
775,51061.0,Family
776,51061.0,Fantasy
777,51061.0,Music
778,35551.0,Action
779,35551.0,Adventure
780,35551.0,Anime
781,35551.0,Fantasy
782,51670.0,Drama
783,51670.0,Anime
784,51670.0,Fantasy
785,51670.0,Romance
795,31894.0,Family
796,31894.0,Sports
802,58844.0,Comedy
803,58844.0,Horror
804,53888.0,Comedy
805,53888.0,Music
806,53888.0,Travel
809,6097.0,Comedy
810,6097.0,Music
811,40225.0,Comedy
814,51125.0,Drama
815,51125.0,Horror
816,51125.0,Thriller
820,53851.0,Food
821,57945.0,Comedy
824,50983.0,Horror
825,61307.0,Drama
826,61307.0,Action
827,61307.0,Fantasy
828,61536.0,Drama
829,61536.0,Romance
830,61536.0,Mystery
831,4091.0,Action
832,4091.0,Adventure
833,4091.0,Anime
834,4091.0,Science-Fiction
835,19667.0,Sports
836,50939.0,Comedy
837,50939.0,Anime
838,50939.0,Science-Fiction
839,51314.0,Music
840,51631.0,Comedy
841,48922.0,Action
842,48922.0,Adventure
843,48922.0,Fantasy
844,44334.0,Food
845,44334.0,Travel
846,51471.0,Action
847,51471.0,Anime
848,51471.0,Science-Fiction
849,52178.0,Anime
850,52178.0,Science-Fiction
855,50398.0,Anime
856,50398.0,Supernatural
857,44659.0,Drama
858,44659.0,War
859,44659.0,History
866,31770.0,Drama
874,49524.0,Horror
875,49524.0,Thriller
876,49524.0,Mystery
877,52156.0,Comedy
878,52294.0,Drama
879,52294.0,Crime
880,52294.0,Mystery
881,52571.0,Drama
882,52571.0,Family
883,52571.0,Mystery
887,57874.0,Children
888,22893.0,Comedy
889,22893.0,Family
890,39314.0,Drama
891,39314.0,Comedy
892,39314.0,Crime
893,43141.0,Comedy
896,52148.0,Action
897,52148.0,Science-Fiction
898,52303.0,Comedy
901,52737.0,Comedy
904,53890.0,Horror
905,54789.0,Sports
908,7591.0,Sports
909,18752.0,Comedy
910,33463.0,Anime
911,33463.0,Music
912,34940.0,Comedy
913,34940.0,Adventure
914,34940.0,Children
918,43207.0,History
919,43207.0,Sports
920,52181.0,Drama
921,52181.0,Adventure
922,52181.0,Mystery
927,50916.0,Comedy
928,50916.0,Anime
940,6090.0,Comedy
941,6090.0,Action
942,6090.0,Adventure
943,41575.0,Food
944,42097.0,Comedy
945,42097.0,Sports
946,42412.0,Drama
947,42412.0,Action
948,42412.0,Thriller
952,43072.0,Comedy
953,45416.0,Drama
954,45416.0,Comedy
955,48819.0,Drama
956,48819.0,Crime
957,48819.0,Romance
958,51954.0,Drama
963,52018.0,Sports
964,52069.0,Comedy
985,52195.0,Comedy
986,52272.0,Crime
990,52730.0,Drama
991,52730.0,Comedy
992,52730.0,Action
1018,32417.0,Drama
1019,32417.0,Action
1020,32417.0,Crime
1021,6146.0,Comedy
1022,6147.0,Comedy
1023,22473.0,Sports
1026,45015.0,Romance
1027,57009.0,Drama
1028,57009.0,Crime
1029,57009.0,Thriller
1058,41930.0,Comedy
1117,52400.0,Drama
1118,52400.0,Fantasy
1119,52400.0,Mystery
1171,52316.0,Comedy
1197,52639.0,Sports
1204,12906.0,Comedy
1214,42305.0,Comedy
1215,42305.0,Family
1216,43209.0,Comedy
1217,43910.0,Comedy
1218,45397.0,Comedy
1219,45397.0,Fantasy
1220,45397.0,Horror
1225,48753.0,Comedy
1226,50888.0,Drama
1227,50888.0,Romance
1231,51992.0,Medical
1271,54834.0,Comedy
1292,45155.0,Travel
1301,34010.0,Children
1302,34010.0,Family
1303,10892.0,Children
1304,10892.0,Family
1335,52782.0,Drama
1336,52782.0,Comedy
1337,52782.0,Romance
1353,53072.0,Drama
1354,53072.0,Action
1355,53072.0,Crime
1372,53609.0,Drama
1373,53609.0,Thriller
1391,50164.0,Drama
1392,50164.0,Action
1393,50164.0,Crime
1395,52413.0,Drama
1396,52413.0,Romance
1415,39794.0,Comedy
1423,50036.0,Drama
1424,50036.0,Science-Fiction
1425,50036.0,Mystery
1449,50889.0,Comedy
1450,50889.0,Food
1479,52806.0,Drama
1480,52806.0,Comedy
1481,52806.0,Adventure
1507,53698.0,Drama
1508,53698.0,Romance
1511,59261.0,Comedy
1524,26643.0,Comedy
1525,26643.0,Adventure
1526,26643.0,Fantasy
1540,48041.0,Adventure
1541,48041.0,Children
1542,48041.0,Fantasy
1553,44135.0,Food
1556,16078.0,Drama
1557,16078.0,Crime
1558,16078.0,Thriller
1579,20734.0,Comedy
1580,20734.0,Anime
1581,20734.0,Fantasy
1582,20734.0,Romance
1612,50467.0,Drama
1613,50467.0,Romance
1646,45987.0,Crime
1647,45987.0,Horror
1648,45987.0,Thriller
1693,37390.0,Drama
1694,37390.0,Thriller
1695,37390.0,Mystery
1726,39678.0,Drama
1727,39678.0,Children
1728,39678.0,Music
1732,47881.0,Comedy
1733,47881.0,Children
1746,48396.0,Drama
1747,48396.0,Comedy
1748,48396.0,Romance
1756,50644.0,Comedy
1757,50644.0,Food
1758,50644.0,Travel
1768,51653.0,Drama
1769,51653.0,Thriller
1770,51653.0,Mystery
1811,52412.0,Drama
1812,52412.0,Fantasy
1813,52412.0,Romance
1824,52451.0,Drama
1825,52451.0,Action
1826,52451.0,Thriller
1847,54837.0,Drama
1848,54837.0,Romance
1851,62306.0,Children
1852,62306.0,Family
1853,23401.0,Action
1854,23401.0,Adventure
1855,23401.0,Children
1860,49721.0,Comedy
1861,49721.0,Adventure
1862,49721.0,Children
1882,41192.0,Comedy
1883,41192.0,Children
1884,41192.0,Family
1885,43883.0,Comedy
1886,45090.0,Comedy
1887,45090.0,Fantasy
1888,45090.0,Horror
1926,47108.0,Drama
1927,47108.0,Food
1928,47108.0,Romance
1931,49823.0,Drama
1932,49823.0,Romance
1961,62545.0,War
1962,62545.0,History
1975,50895.0,Comedy
1984,47865.0,Comedy
1996,54762.0,Drama
1997,54762.0,Fantasy
2014,52423.0,Family
2020,34901.0,Comedy
2022,44057.0,Drama
2023,44057.0,Romance
2038,32214.0,Drama
2039,32214.0,Romance
2044,47042.0,Drama
2049,52772.0,Crime
2055,53735.0,Drama
2061,42321.0,Sports
2064,47119.0,Drama
2065,47119.0,History
2092,25910.0,Adventure
2093,25910.0,Children
2094,25910.0,Fantasy
2139,43293.0,Drama
2140,43293.0,Romance
2141,43293.0,Mystery
2202,52479.0,Drama
2203,52479.0,Romance
2212,52524.0,Drama
2213,52524.0,Romance
2230,56848.0,Drama
2231,56848.0,Romance
2239,44725.0,Comedy
2240,44725.0,Action
2244,17447.0,Children
2245,17447.0,Family
2276,53089.0,Sports
2283,43336.0,Fantasy
2285,50616.0,Music
2289,51934.0,Drama
2290,51934.0,Action
2291,51934.0,Romance
2335,53119.0,Comedy
2336,53119.0,Adventure
2337,53119.0,Fantasy
2402,1825.0,Science-Fiction
2403,1825.0,Thriller
2404,1825.0,Mystery
2414,47226.0,Music
2423,51928.0,Music
2429,51994.0,Crime
2451,52110.0,Drama
2452,52110.0,Comedy
2463,52212.0,Drama
2464,52212.0,Comedy
2465,52212.0,Family
2476,52521.0,Music
2477,52521.0,History
2492,52743.0,Drama
2493,52743.0,Action
2494,52743.0,Crime
2522,62127.0,Sports
2551,39115.0,Drama
2552,39115.0,Crime
2553,39115.0,Mystery
2559,48151.0,Comedy
2560,48151.0,Family
2575,53830.0,Sports
2577,57385.0,Comedy
2578,57385.0,Food
2579,57385.0,DIY
2626,49843.0,Comedy
2639,52618.0,Comedy
2648,17078.0,Comedy
2649,17078.0,Adventure
2651,35790.0,Drama
2652,35790.0,Horror
2653,35790.0,Supernatural
2664,52082.0,Food
2673,52435.0,Comedy
2677,52537.0,Drama
2678,52537.0,Romance
2701,59853.0,Comedy
2702,59853.0,Children
2716,40195.0,Food
2727,48403.0,Comedy
2757,38732.0,Comedy
2762,52582.0,Crime
2763,52582.0,Thriller
2764,52582.0,Mystery
2786,52593.0,Drama
2787,52593.0,Crime
2788,52593.0,Mystery
2845,57029.0,Comedy
2846,57029.0,Children
2856,35420.0,Drama
2857,35420.0,Romance
2861,41067.0,Drama
2862,41067.0,Adventure
2863,41067.0,History
2876,41489.0,Drama
2877,41489.0,Comedy
2878,41489.0,Romance
2897,44117.0,Drama
2898,44117.0,Romance
2917,46570.0,Horror
2918,46570.0,Science-Fiction
2919,46570.0,Thriller
2959,51136.0,Comedy
2960,51136.0,Food
3015,52662.0,Drama
3034,57213.0,Drama
3039,37790.0,Drama
3040,37790.0,Horror
3046,26796.0,Comedy
3047,26796.0,Children
3048,26796.0,Family
3095,51398.0,Drama
3096,51398.0,Romance
3109,53564.0,Drama
3110,53564.0,Romance
3152,33172.0,Adventure
3153,33172.0,Travel
3179,38925.0,Drama
3180,38925.0,Action
3181,38925.0,War
3196,52781.0,Drama
3197,52781.0,Comedy
3198,52781.0,Romance
3219,54541.0,Adventure
3220,54541.0,Anime
3221,54541.0,Fantasy
3228,62764.0,Comedy
3229,62764.0,Fantasy
3230,62764.0,History
3234,52898.0,Drama
3235,52898.0,Romance
3236,52898.0,History
3265,46141.0,Drama
3266,46141.0,Romance
3298,52561.0,Drama
3299,52561.0,Romance
3300,52655.0,Crime
3320,52562.0,Drama
3321,52562.0,Romance
3331,9815.0,Comedy
3343,44276.0,Drama
3344,44276.0,Romance
3346,48673.0,Action
3347,48673.0,Anime
3348,48673.0,Science-Fiction
3349,48673.0,War
3365,52526.0,Drama
3366,52526.0,Comedy
3367,52526.0,Adult
3398,51772.0,Drama
3399,51772.0,Romance
3406,44823.0,Travel
3445,52629.0,Children
3446,52629.0,Music
3469,52872.0,Comedy
3470,52872.0,Anime
3471,53809.0,Horror
3472,53809.0,Thriller
3473,53809.0,Supernatural
3482,52327.0,Drama
3483,52327.0,Comedy
3484,52327.0,Food
3488,53114.0,Comedy
3489,53114.0,Crime
3490,53114.0,Mystery
3501,45512.0,Food
3510,53101.0,Drama
3511,53101.0,Comedy
3526,54664.0,Drama
3551,53458.0,Comedy
3554,21735.0,Comedy
3602,52547.0,Drama
3603,52547.0,Romance
3616,42872.0,Drama
3619,48237.0,Comedy
3620,48237.0,Sports
3627,38241.0,Comedy
3628,38241.0,Supernatural
3629,32680.0,Comedy
3630,45487.0,Comedy
3650,52499.0,Drama
3651,52499.0,Supernatural
3660,41490.0,Drama
3661,41490.0,Comedy
3662,41490.0,Romance
3684,52665.0,Drama
3685,52665.0,Romance
3688,52784.0,Comedy
3689,52784.0,Fantasy
3690,52784.0,Romance
3731,55199.0,Children
3733,52609.0,Crime
3741,52610.0,Drama
3742,52610.0,Thriller
3743,52610.0,Mystery
3811,60086.0,Action
3812,60086.0,Science-Fiction
3889,52372.0,Nature
3903,32611.0,Drama
3915,53467.0,Comedy
3916,53467.0,Children
3928,42966.0,Drama
3929,42966.0,Romance
3944,44803.0,Comedy
3945,44803.0,Family
3946,49400.0,Drama
3947,49400.0,Romance
3975,52277.0,Drama
3976,52277.0,Romance
4024,61909.0,Comedy
4025,61909.0,Children
4039,14055.0,Comedy
4048,46689.0,Comedy
4079,39627.0,Adventure
4080,39627.0,Children
4093,42592.0,Action
4094,42592.0,Children
4095,42592.0,Family
4129,51473.0,Comedy
4130,51473.0,Romance
4131,52685.0,Drama
4132,52685.0,Crime
4133,52685.0,Thriller
4157,59655.0,Adventure
4158,59655.0,Fantasy
4213,53094.0,Drama
4214,53094.0,Romance
4220,52545.0,Drama
4232,52653.0,Drama
4233,52653.0,Crime
4234,52653.0,Thriller
4274,53669.0,Drama
4275,58645.0,Crime
4276,58645.0,Mystery
4324,52712.0,Drama
4325,52712.0,Comedy
4326,52712.0,Romance
4403,52936.0,Drama
4404,52936.0,Romance
4426,34301.0,Medical
4430,52044.0,Comedy
4461,52736.0,Drama
4473,54955.0,Children
4474,54955.0,Family
4513,52851.0,Comedy
4514,52851.0,Romance
4533,52661.0,History
4537,51510.0,Comedy
4566,61247.0,Anime
4568,61556.0,Mystery
4574,52403.0,Drama
4575,52403.0,Romance
4576,52403.0,Mystery
4577,52931.0,Drama
4578,52931.0,Comedy
4581,53093.0,Drama
4582,53093.0,Comedy
4583,53093.0,Romance
4593,42387.0,Action
4594,42387.0,Adventure
4595,42387.0,Science-Fiction
4611,43890.0,Drama
4612,43890.0,Thriller
4613,43890.0,Supernatural
4670,52615.0,Food
4678,52708.0,Crime
4693,53127.0,Drama
4694,53127.0,Science-Fiction
4695,53127.0,Thriller
4698,55805.0,Adventure
4699,55805.0,Children
4700,55805.0,Fantasy
4715,60508.0,Comedy
4723,46688.0,Drama
4724,46688.0,Comedy
4725,46688.0,Science-Fiction
4805,44343.0,Comedy
4806,44343.0,Romance
4827,19355.0,Comedy
4838,32649.0,Horror
4839,32649.0,Romance
4840,32649.0,Supernatural
4866,51826.0,Drama
4867,51826.0,Romance
4894,53581.0,Comedy
4895,53581.0,Family
4896,53581.0,Music
4914,39441.0,Drama
4915,39441.0,Crime
4916,39441.0,Thriller
